user_id,persona,date,day_of_week,is_weekend,sleep_hours,study_hours,screen_time_hours,exercise_mins,mood_score,stress_level,caffeine_intake,water_litres,deep_focus_blocks,social_media_mins,productivity_score,burnout_risk
1,high_stress,2024-01-21,Sunday,1,5.0,5.0,8.2,27,3.0,4.3,3,2.5,3,19,36.2,High
1,high_stress,2024-01-22,Monday,0,6.9,6.9,5.4,12,2.6,4.2,3,2.6,5,0,67.8,Medium
1,high_stress,2024-01-23,Tuesday,0,6.5,6.9,6.8,21,2.1,4.0,3,2.1,4,0,49.7,Medium
1,high_stress,2024-01-24,Wednesday,0,5.5,7.5,7.6,3,2.9,4.1,3,2.8,5,7,58.7,Medium
1,high_stress,2024-01-25,Thursday,0,6.2,8.8,6.8,12,2.6,4.6,3,2.5,5,1,61.9,Medium
1,high_stress,2024-01-26,Friday,0,5.3,7.1,7.3,26,2.5,4.4,3,2.5,4,21,44.3,Medium
1,high_stress,2024-01-27,Saturday,1,5.6,6.4,6.3,7,2.9,4.1,3,2.7,3,0,51.3,Medium
1,high_stress,2024-01-28,Sunday,1,5.0,4.2,4.8,11,2.3,3.9,3,2.6,2,3,35.4,Medium
1,high_stress,2024-01-29,Monday,0,4.7,7.1,7.4,5,2.8,4.3,3,3.0,4,4,47.5,High
1,high_stress,2024-01-30,Tuesday,0,4.9,7.1,7.2,13,2.5,3.6,4,2.8,4,0,54.0,Medium
1,high_stress,2024-01-31,Wednesday,0,5.9,8.6,7.2,13,2.4,3.7,3,2.9,4,12,64.8,Medium
1,high_stress,2024-02-01,Thursday,0,6.2,8.3,6.2,3,2.1,4.1,3,2.5,5,4,58.2,Medium
1,high_stress,2024-02-02,Friday,0,7.1,7.7,6.3,29,2.9,4.9,5,3.1,4,0,59.6,Medium
1,high_stress,2024-02-03,Saturday,1,3.3,5.5,6.0,13,2.6,4.8,3,3.0,2,0,26.8,High
1,high_stress,2024-02-04,Sunday,1,5.7,4.6,6.6,20,2.4,3.5,4,2.6,2,6,37.5,Medium
1,high_stress,2024-02-05,Monday,0,5.7,8.5,5.4,10,2.5,4.1,3,2.8,5,0,63.0,Medium
1,high_stress,2024-02-06,Tuesday,0,5.3,6.7,6.8,13,1.1,3.9,5,2.8,4,24,44.2,High
1,high_stress,2024-02-07,Wednesday,0,5.1,7.2,7.6,21,2.3,4.0,4,2.8,3,0,39.7,Medium
1,high_stress,2024-02-08,Thursday,0,5.8,5.6,6.3,25,2.8,4.3,3,2.4,4,8,50.5,Medium
1,high_stress,2024-02-09,Friday,0,5.8,7.0,5.8,9,1.7,4.5,5,2.1,4,11,42.1,High
1,high_stress,2024-02-10,Saturday,1,5.8,5.7,6.2,8,2.1,3.8,3,3.0,4,10,45.7,Medium
1,high_stress,2024-02-11,Sunday,1,4.4,5.3,6.1,10,3.3,3.9,4,2.4,2,4,35.4,Medium
1,high_stress,2024-02-12,Monday,0,6.3,7.5,7.1,8,3.2,4.1,4,2.7,4,34,62.3,Medium
1,high_stress,2024-02-13,Tuesday,0,6.7,5.5,6.0,7,2.4,4.0,3,2.0,3,0,39.8,Medium
1,high_stress,2024-02-14,Wednesday,0,5.6,9.2,7.7,19,3.3,4.6,5,2.0,5,6,64.7,Medium
1,high_stress,2024-02-15,Thursday,0,4.5,7.4,6.2,4,2.9,4.1,4,2.2,4,0,50.8,Medium
1,high_stress,2024-02-16,Friday,0,5.6,6.6,6.2,20,2.6,3.7,3,2.5,5,16,56.8,Medium
1,high_stress,2024-02-17,Saturday,1,4.1,6.5,6.7,25,2.9,4.3,4,2.1,4,30,38.4,High
1,high_stress,2024-02-18,Sunday,1,4.6,5.7,6.1,18,2.9,4.3,5,3.2,3,0,40.3,High
1,high_stress,2024-02-19,Monday,0,5.4,8.7,6.2,5,2.5,4.2,3,2.6,5,0,60.0,Medium
1,high_stress,2024-02-20,Tuesday,0,6.1,8.3,5.0,18,2.4,4.4,5,2.6,5,9,68.7,Medium
1,high_stress,2024-02-21,Wednesday,0,4.6,8.2,7.1,0,1.5,4.6,5,2.0,5,7,39.0,High
1,high_stress,2024-02-22,Thursday,0,6.3,7.5,6.3,17,2.0,3.8,5,2.4,4,3,59.7,Medium
1,high_stress,2024-02-23,Friday,0,5.8,6.6,6.1,0,2.4,5.0,3,1.7,3,17,46.2,High
1,high_stress,2024-02-24,Saturday,1,5.0,7.2,5.7,6,1.8,3.8,5,2.6,3,27,43.5,High
1,high_stress,2024-02-25,Sunday,1,4.7,6.6,6.8,14,2.2,4.2,5,2.1,5,4,42.3,High
1,high_stress,2024-02-26,Monday,0,5.2,7.4,6.6,23,1.8,4.6,3,2.2,4,7,50.0,High
1,high_stress,2024-02-27,Tuesday,0,6.4,7.3,6.5,21,2.8,4.0,5,2.6,3,13,53.4,Medium
1,high_stress,2024-02-28,Wednesday,0,5.3,6.9,6.9,15,3.4,3.4,4,3.2,4,3,58.8,Medium
1,high_stress,2024-02-29,Thursday,0,5.7,7.5,8.4,5,3.0,3.0,3,2.8,3,0,56.1,Medium
1,high_stress,2024-03-01,Friday,0,5.6,7.8,7.2,3,2.3,4.1,4,2.4,5,0,53.8,Medium
1,high_stress,2024-03-02,Saturday,1,4.6,4.8,5.3,20,2.9,4.1,5,2.7,3,2,37.5,Medium
1,high_stress,2024-03-03,Sunday,1,3.6,5.3,6.7,6,2.8,4.2,3,2.6,3,8,32.9,High
1,high_stress,2024-03-04,Monday,0,6.4,7.1,6.3,14,2.3,4.4,4,2.8,4,0,53.8,Medium
1,high_stress,2024-03-05,Tuesday,0,5.7,7.7,6.5,4,3.1,4.1,4,2.1,5,5,57.9,Medium
1,high_stress,2024-03-06,Wednesday,0,5.0,7.5,5.5,19,3.2,4.4,4,2.3,4,0,53.5,Medium
1,high_stress,2024-03-07,Thursday,0,5.2,8.1,6.5,33,2.9,4.2,3,2.6,3,0,58.9,Medium
1,high_stress,2024-03-08,Friday,0,5.3,6.2,6.0,3,2.0,4.6,5,2.4,4,0,36.9,High
1,high_stress,2024-03-09,Saturday,1,3.9,6.1,6.7,14,2.3,5.0,3,2.5,3,23,30.9,High
1,high_stress,2024-03-10,Sunday,1,3.7,5.7,6.8,16,2.1,4.4,4,2.4,3,9,31.7,High
1,high_stress,2024-03-11,Monday,0,6.2,8.5,7.1,22,2.5,4.0,4,2.0,5,11,63.4,Medium
1,high_stress,2024-03-12,Tuesday,0,5.1,8.3,6.5,20,2.5,4.0,4,3.1,5,0,64.4,High
1,high_stress,2024-03-13,Wednesday,0,6.4,7.4,4.8,25,3.0,3.3,3,3.1,4,4,76.6,Low
1,high_stress,2024-03-14,Thursday,0,5.6,8.2,6.8,14,2.7,4.0,5,2.3,5,26,57.4,Medium
1,high_stress,2024-03-15,Friday,0,4.7,6.0,6.0,20,2.3,3.8,4,2.6,4,0,46.2,Medium
1,high_stress,2024-03-16,Saturday,1,4.5,5.3,6.1,18,2.6,4.0,5,2.5,3,0,37.0,High
1,high_stress,2024-03-17,Sunday,1,4.7,6.4,6.7,32,2.2,3.8,4,2.6,4,0,47.8,Medium
1,high_stress,2024-03-18,Monday,0,6.2,9.4,6.6,1,2.5,4.0,5,2.3,6,5,62.4,Medium
1,high_stress,2024-03-19,Tuesday,0,5.3,7.6,6.3,19,2.7,4.5,3,2.2,5,0,56.3,Medium
1,high_stress,2024-03-20,Wednesday,0,6.3,7.4,7.9,21,2.9,4.1,3,2.5,4,13,59.3,Medium
1,high_stress,2024-03-21,Thursday,0,6.2,7.8,7.4,23,3.0,4.4,5,2.8,4,6,57.0,Medium
1,high_stress,2024-03-22,Friday,0,6.6,7.6,6.1,9,2.3,3.9,3,2.0,5,10,67.7,Medium
1,high_stress,2024-03-23,Saturday,1,4.4,6.1,6.7,24,2.4,4.1,5,2.5,4,1,38.6,High
1,high_stress,2024-03-24,Sunday,1,4.4,6.1,5.2,20,2.3,4.1,4,3.1,3,0,46.0,Medium
1,high_stress,2024-03-25,Monday,0,5.5,8.4,6.1,21,2.8,4.0,5,2.1,5,9,64.7,Medium
1,high_stress,2024-03-26,Tuesday,0,5.9,7.0,5.6,22,2.7,4.0,3,2.1,5,11,59.4,Medium
1,high_stress,2024-03-27,Wednesday,0,5.0,8.6,6.5,24,2.6,4.2,5,3.0,4,8,56.3,High
1,high_stress,2024-03-28,Thursday,0,5.6,6.3,5.6,19,1.8,4.2,5,2.1,4,0,48.6,Medium
1,high_stress,2024-03-29,Friday,0,5.6,6.4,6.0,27,2.9,4.4,4,2.5,4,0,52.8,Medium
1,high_stress,2024-03-30,Saturday,1,4.7,5.2,6.5,9,2.2,3.6,4,2.6,2,0,31.1,High
2,balanced,2024-01-01,Monday,0,6.6,4.8,5.3,40,3.6,2.4,3,2.6,3,19,69.8,Low
2,balanced,2024-01-02,Tuesday,0,7.4,4.8,4.1,39,4.0,2.8,3,2.9,3,23,70.3,Low
2,balanced,2024-01-03,Wednesday,0,6.9,5.1,3.3,30,4.0,2.7,3,2.1,3,0,80.1,Low
2,balanced,2024-01-04,Thursday,0,6.3,4.5,3.1,31,3.6,2.4,1,2.7,3,0,66.4,Low
2,balanced,2024-01-05,Friday,0,7.3,5.7,5.3,31,4.2,2.3,2,2.6,4,0,75.5,Low
2,balanced,2024-01-06,Saturday,1,6.5,3.9,4.5,22,4.5,1.6,2,2.6,2,0,68.3,Low
2,balanced,2024-01-07,Sunday,1,5.7,4.8,2.4,30,3.3,2.3,3,2.2,2,18,66.0,Low
2,balanced,2024-01-08,Monday,0,6.7,4.4,3.9,43,3.5,1.4,2,2.4,2,7,71.2,Low
2,balanced,2024-01-09,Tuesday,0,6.4,3.8,2.9,44,4.4,2.3,3,2.4,2,0,66.0,Low
2,balanced,2024-01-10,Wednesday,0,7.6,5.0,4.6,34,3.8,1.5,2,2.2,4,22,80.4,Low
2,balanced,2024-01-11,Thursday,0,6.2,5.3,2.6,37,3.3,2.3,2,2.8,2,8,66.3,Low
2,balanced,2024-01-12,Friday,0,7.3,4.4,4.9,33,3.9,1.9,3,2.4,3,5,71.3,Low
2,balanced,2024-01-13,Saturday,1,5.5,4.2,4.4,29,4.0,2.6,1,2.6,2,1,60.7,Low
2,balanced,2024-01-14,Sunday,1,6.0,4.3,5.1,32,3.7,2.6,2,2.5,3,10,59.3,Low
2,balanced,2024-01-15,Monday,0,7.8,3.9,4.8,23,4.3,3.0,3,2.2,1,0,56.2,Low
2,balanced,2024-01-16,Tuesday,0,7.3,4.4,4.8,47,2.9,2.0,2,2.0,3,0,65.6,Low
2,balanced,2024-01-17,Wednesday,0,7.7,5.7,5.0,35,4.1,2.2,1,2.4,3,1,83.4,Low
2,balanced,2024-01-18,Thursday,0,6.1,4.8,3.4,26,3.8,2.8,2,2.9,3,0,61.5,Low
2,balanced,2024-01-19,Friday,0,7.5,4.1,4.2,24,3.5,2.4,2,2.2,2,0,67.1,Low
2,balanced,2024-01-20,Saturday,1,5.2,4.1,5.8,31,4.0,2.7,2,2.7,2,5,58.0,Low
2,balanced,2024-01-21,Sunday,1,5.2,3.2,4.5,32,4.2,2.4,3,2.2,3,0,55.5,Low
2,balanced,2024-01-22,Monday,0,7.0,5.3,4.9,48,3.2,2.3,2,2.3,3,0,69.0,Low
2,balanced,2024-01-23,Tuesday,0,6.8,6.5,5.3,31,3.9,2.7,2,2.0,4,0,74.6,Low
2,balanced,2024-01-24,Wednesday,0,7.2,4.3,4.2,22,3.9,2.6,2,2.4,2,0,60.7,Low
2,balanced,2024-01-25,Thursday,0,5.9,4.4,3.5,35,3.8,2.5,3,2.5,2,1,58.6,Low
2,balanced,2024-01-26,Friday,0,7.9,3.9,3.8,23,3.7,2.7,1,2.2,2,11,64.1,Low
2,balanced,2024-01-27,Saturday,1,5.9,4.7,3.2,28,3.5,1.8,1,1.9,3,0,62.3,Low
2,balanced,2024-01-28,Sunday,1,6.0,6.0,4.0,35,3.8,2.2,3,2.6,4,0,77.0,Low
2,balanced,2024-01-29,Monday,0,6.9,5.8,4.5,36,3.5,3.3,1,2.5,4,16,74.5,Low
2,balanced,2024-01-30,Tuesday,0,5.7,5.0,3.8,27,4.0,2.3,1,2.7,3,0,73.6,Low
2,balanced,2024-01-31,Wednesday,0,6.4,5.2,4.0,23,4.0,2.8,3,2.3,3,0,67.0,Low
2,balanced,2024-02-01,Thursday,0,6.2,5.7,4.4,53,3.3,2.2,3,2.1,3,0,65.0,Low
2,balanced,2024-02-02,Friday,0,7.6,5.5,4.1,33,3.6,2.3,3,3.0,3,7,72.8,Low
2,balanced,2024-02-03,Saturday,1,6.3,3.6,3.2,32,3.2,1.9,3,2.9,2,1,57.0,Low
2,balanced,2024-02-04,Sunday,1,5.5,3.3,3.9,42,3.3,1.6,2,2.6,2,6,58.4,Low
2,balanced,2024-02-05,Monday,0,7.1,4.7,4.0,36,4.0,2.4,3,2.7,3,15,76.7,Low
2,balanced,2024-02-06,Tuesday,0,6.5,5.0,4.1,48,3.7,2.3,1,2.7,3,1,74.5,Low
2,balanced,2024-02-07,Wednesday,0,5.7,5.1,4.2,34,3.5,2.7,2,2.6,2,0,63.8,Low
2,balanced,2024-02-08,Thursday,0,7.7,4.3,3.1,47,3.6,2.2,2,2.4,2,1,75.0,Low
2,balanced,2024-02-09,Friday,0,6.7,4.6,3.4,34,4.1,2.3,2,2.3,2,0,64.1,Low
2,balanced,2024-02-10,Saturday,1,7.0,3.1,3.8,26,3.9,2.5,3,2.1,2,0,59.3,Low
2,balanced,2024-02-11,Sunday,1,7.0,4.6,4.3,41,4.2,1.9,1,2.5,3,10,79.5,Low
2,balanced,2024-02-12,Monday,0,7.9,5.0,4.2,48,3.9,3.3,3,2.5,2,0,73.2,Low
2,balanced,2024-02-13,Tuesday,0,8.0,5.2,4.4,37,3.4,2.0,2,2.1,3,9,78.6,Low
2,balanced,2024-02-14,Wednesday,0,6.6,6.1,5.2,56,3.8,2.4,1,2.7,4,9,83.1,Low
2,balanced,2024-02-15,Thursday,0,6.5,4.9,5.2,24,3.5,2.6,2,2.0,2,0,63.4,Low
2,balanced,2024-02-16,Friday,0,7.2,4.2,5.7,32,3.8,2.0,3,2.4,2,28,62.9,Low
2,balanced,2024-02-17,Saturday,1,5.6,4.0,4.8,17,4.0,1.9,2,2.5,3,0,60.3,Low
2,balanced,2024-02-18,Sunday,1,5.2,4.6,3.6,27,4.0,2.5,1,2.6,3,20,61.5,Low
2,balanced,2024-02-19,Monday,0,7.0,4.2,3.8,43,4.5,2.9,1,2.6,2,7,68.5,Low
2,balanced,2024-02-20,Tuesday,0,8.2,5.5,3.7,24,3.2,1.1,1,2.1,2,2,86.8,Low
2,balanced,2024-02-21,Wednesday,0,7.7,5.5,4.3,26,3.9,2.1,1,2.4,3,0,77.6,Low
2,balanced,2024-02-22,Thursday,0,6.6,4.1,3.9,47,3.5,2.3,2,1.7,3,10,64.9,Low
2,balanced,2024-02-23,Friday,0,7.2,4.9,4.6,35,3.7,2.1,2,2.7,2,6,66.9,Low
2,balanced,2024-02-24,Saturday,1,6.0,3.9,2.9,37,3.5,1.9,3,2.6,3,11,58.1,Low
2,balanced,2024-02-25,Sunday,1,5.9,5.1,3.1,32,3.7,2.7,1,2.4,4,19,68.2,Low
2,balanced,2024-02-26,Monday,0,7.2,4.4,3.9,46,3.5,1.9,2,2.8,2,0,71.9,Low
2,balanced,2024-02-27,Tuesday,0,7.0,3.7,4.7,34,3.7,3.5,2,2.2,1,0,51.9,Low
2,balanced,2024-02-28,Wednesday,0,6.8,4.5,3.9,29,3.4,2.7,3,2.1,3,3,65.3,Low
2,balanced,2024-02-29,Thursday,0,6.4,5.1,3.0,45,4.7,2.4,3,2.2,3,23,74.2,Low
2,balanced,2024-03-01,Friday,0,7.2,5.1,4.5,34,3.8,2.3,1,2.2,3,0,75.6,Low
2,balanced,2024-03-02,Saturday,1,5.4,4.2,3.7,18,4.0,2.1,2,2.2,3,15,61.6,Low
2,balanced,2024-03-03,Sunday,1,4.5,3.5,4.9,28,3.4,2.0,1,2.3,3,4,53.4,Low
2,balanced,2024-03-04,Monday,0,6.5,6.6,5.1,39,4.0,2.4,3,2.2,4,0,82.2,Low
2,balanced,2024-03-05,Tuesday,0,6.9,5.4,3.7,41,4.3,2.7,1,2.3,2,16,74.3,Low
2,balanced,2024-03-06,Wednesday,0,7.5,4.4,4.7,37,3.1,1.7,2,2.5,3,5,70.5,Low
2,balanced,2024-03-07,Thursday,0,6.8,4.8,4.3,36,4.0,2.1,3,2.7,3,3,72.7,Low
2,balanced,2024-03-08,Friday,0,7.4,6.7,3.6,51,3.6,2.2,1,1.9,4,0,91.4,Low
2,balanced,2024-03-09,Saturday,1,6.4,3.3,4.3,35,4.1,2.3,3,2.7,3,0,64.7,Low
2,balanced,2024-03-10,Sunday,1,4.8,3.6,4.2,39,3.3,2.5,1,2.2,2,11,52.5,Low
2,balanced,2024-03-11,Monday,0,7.6,7.1,2.8,29,4.4,2.1,1,2.2,4,16,95.4,Low
2,balanced,2024-03-12,Tuesday,0,6.7,5.2,4.6,29,3.7,1.6,1,3.2,3,1,76.5,Low
2,balanced,2024-03-13,Wednesday,0,6.8,4.9,3.8,29,3.2,2.3,3,2.1,1,12,67.7,Low
2,balanced,2024-03-14,Thursday,0,6.8,5.5,2.5,23,3.5,1.8,2,2.4,3,4,74.7,Low
2,balanced,2024-03-15,Friday,0,7.2,3.1,4.1,43,3.5,2.1,1,2.9,1,6,64.7,Low
2,balanced,2024-03-16,Saturday,1,6.2,3.0,4.8,20,4.1,2.4,1,3.0,2,0,54.5,Low
2,balanced,2024-03-17,Sunday,1,4.5,3.4,3.9,20,3.7,2.2,2,2.8,1,19,44.5,Low
2,balanced,2024-03-18,Monday,0,7.3,5.7,3.2,35,4.0,1.8,1,2.1,3,1,83.9,Low
2,balanced,2024-03-19,Tuesday,0,8.8,4.6,2.7,40,4.1,2.8,1,2.3,3,0,85.8,Low
2,balanced,2024-03-20,Wednesday,0,7.0,6.1,4.4,38,3.0,2.0,2,2.4,3,8,68.0,Low
2,balanced,2024-03-21,Thursday,0,7.4,4.1,4.0,38,2.8,2.4,3,2.3,2,0,57.8,Low
2,balanced,2024-03-22,Friday,0,6.1,5.9,5.4,30,3.7,1.9,3,2.1,3,2,69.1,Low
2,balanced,2024-03-23,Saturday,1,5.7,4.6,2.9,21,3.8,1.8,2,2.5,3,4,71.1,Low
2,balanced,2024-03-24,Sunday,1,4.8,2.8,4.4,12,3.9,1.7,2,2.3,1,0,49.8,Low
2,balanced,2024-03-25,Monday,0,6.7,5.4,5.5,35,4.0,2.0,3,2.6,2,0,71.8,Low
2,balanced,2024-03-26,Tuesday,0,6.6,5.8,4.8,29,4.4,2.2,1,3.3,2,5,79.3,Low
2,balanced,2024-03-27,Wednesday,0,6.9,5.1,3.6,41,3.7,1.8,2,1.9,3,0,74.1,Low
2,balanced,2024-03-28,Thursday,0,7.2,2.9,6.0,32,4.2,2.2,3,2.8,2,5,58.9,Low
2,balanced,2024-03-29,Friday,0,6.5,4.2,3.4,27,4.0,2.0,2,3.0,2,12,71.8,Low
2,balanced,2024-03-30,Saturday,1,5.5,3.4,4.8,23,3.4,2.0,1,2.4,2,0,53.9,Low
3,balanced,2024-01-01,Monday,0,7.5,5.4,4.3,40,3.7,1.9,2,2.4,3,0,78.8,Low
3,balanced,2024-01-02,Tuesday,0,7.2,4.8,4.1,39,3.6,2.2,3,2.3,3,0,70.9,Low
3,balanced,2024-01-03,Wednesday,0,6.5,5.4,3.9,43,3.4,2.1,3,2.4,3,0,71.2,Low
3,balanced,2024-01-04,Thursday,0,7.1,5.1,5.1,24,2.5,2.4,2,2.5,3,7,68.8,Low
3,balanced,2024-01-05,Friday,0,6.6,4.0,4.5,20,3.4,3.0,3,2.2,2,0,53.0,Low
3,balanced,2024-01-06,Saturday,1,5.2,4.9,4.0,28,3.6,2.3,2,1.9,3,4,58.2,Low
3,balanced,2024-01-07,Sunday,1,5.9,4.8,2.7,18,3.9,2.4,1,2.5,4,17,67.6,Low
3,balanced,2024-01-08,Monday,0,7.8,6.0,4.1,36,3.5,2.1,3,2.5,3,12,78.8,Low
3,balanced,2024-01-09,Tuesday,0,7.3,4.3,3.9,37,2.9,2.8,2,2.7,2,12,61.3,Low
3,balanced,2024-01-10,Wednesday,0,7.7,6.2,3.6,31,4.3,2.6,2,2.1,4,0,87.7,Low
3,balanced,2024-01-11,Thursday,0,6.6,3.8,2.9,35,3.1,1.9,2,2.5,2,9,62.5,Low
3,balanced,2024-01-12,Friday,0,7.5,5.2,4.1,30,3.6,3.0,3,2.3,3,5,72.0,Low
3,balanced,2024-01-13,Saturday,1,5.6,3.4,3.2,24,3.0,1.9,1,2.5,3,0,53.5,Low
3,balanced,2024-01-14,Sunday,1,5.9,4.0,4.1,30,3.7,2.8,2,2.6,2,0,64.1,Low
3,balanced,2024-01-15,Monday,0,7.7,6.4,5.5,38,4.1,3.0,2,2.1,3,0,77.2,Low
3,balanced,2024-01-16,Tuesday,0,7.4,6.1,4.3,32,3.3,2.9,3,2.2,3,0,72.6,Low
3,balanced,2024-01-17,Wednesday,0,7.3,5.4,3.3,33,3.8,2.5,3,2.6,3,3,76.7,Low
3,balanced,2024-01-18,Thursday,0,7.3,6.2,4.0,24,4.2,2.4,1,2.3,4,0,85.9,Low
3,balanced,2024-01-19,Friday,0,6.7,5.0,4.2,34,3.9,2.1,3,2.9,2,8,69.6,Low
3,balanced,2024-01-20,Saturday,1,5.7,4.3,4.3,32,3.4,1.9,3,2.2,3,17,61.8,Low
3,balanced,2024-01-21,Sunday,1,5.6,4.0,3.1,33,4.2,2.0,3,2.2,2,10,62.4,Low
3,balanced,2024-01-22,Monday,0,9.3,3.8,5.6,32,3.8,1.9,2,2.9,2,6,69.9,Low
3,balanced,2024-01-23,Tuesday,0,6.5,5.6,4.0,27,3.6,2.5,1,3.0,3,0,78.2,Low
3,balanced,2024-01-24,Wednesday,0,7.1,5.1,4.7,33,3.6,2.7,2,2.4,4,0,71.5,Low
3,balanced,2024-01-25,Thursday,0,6.8,4.1,3.8,38,3.7,2.6,3,2.3,3,3,68.6,Low
3,balanced,2024-01-26,Friday,0,7.0,5.4,5.3,54,3.5,2.4,2,2.2,2,0,68.0,Low
3,balanced,2024-01-27,Saturday,1,6.5,4.7,3.8,37,3.4,1.7,1,2.2,2,0,67.2,Low
3,balanced,2024-01-28,Sunday,1,6.2,3.4,3.2,29,3.3,1.5,2,2.3,2,5,65.2,Low
3,balanced,2024-01-29,Monday,0,6.2,5.6,4.7,41,3.8,1.9,1,2.1,3,0,75.9,Low
3,balanced,2024-01-30,Tuesday,0,6.9,5.7,3.8,31,3.4,2.4,1,2.8,4,8,78.2,Low
3,balanced,2024-01-31,Wednesday,0,6.5,4.6,4.6,41,3.6,2.2,3,2.5,3,10,63.7,Low
3,balanced,2024-02-01,Thursday,0,7.4,4.9,4.1,29,4.0,2.5,1,2.5,3,13,79.7,Low
3,balanced,2024-02-02,Friday,0,7.1,6.0,4.0,30,3.7,2.4,1,1.9,4,0,75.7,Low
3,balanced,2024-02-03,Saturday,1,4.8,4.9,3.6,40,3.6,1.5,3,2.3,3,0,62.1,Low
3,balanced,2024-02-04,Sunday,1,5.4,4.3,4.5,33,4.0,2.1,1,2.1,2,17,60.1,Low
3,balanced,2024-02-05,Monday,0,6.1,4.2,3.0,30,3.7,1.7,2,2.8,2,2,68.6,Low
3,balanced,2024-02-06,Tuesday,0,6.8,4.7,5.2,45,3.2,2.6,2,2.2,3,0,70.7,Low
3,balanced,2024-02-07,Wednesday,0,7.6,6.9,5.6,27,3.2,2.8,1,2.4,4,0,80.2,Low
3,balanced,2024-02-08,Thursday,0,7.1,5.3,3.8,38,3.4,2.2,3,2.5,3,0,74.6,Low
3,balanced,2024-02-09,Friday,0,7.3,3.6,5.0,42,3.9,1.9,1,2.6,2,0,66.2,Low
3,balanced,2024-02-10,Saturday,1,6.8,3.7,5.2,36,3.9,2.4,3,1.9,2,0,62.6,Low
3,balanced,2024-02-11,Sunday,1,4.8,4.1,3.7,40,4.0,2.0,3,2.3,2,4,61.0,Low
3,balanced,2024-02-12,Monday,0,8.5,4.4,4.6,27,3.1,1.4,3,2.3,3,0,73.5,Low
3,balanced,2024-02-13,Tuesday,0,6.7,5.0,4.6,34,3.9,2.1,2,2.5,3,17,72.7,Low
3,balanced,2024-02-14,Wednesday,0,7.6,5.7,3.9,44,3.7,2.6,2,1.8,3,13,76.1,Low
3,balanced,2024-02-15,Thursday,0,7.4,4.7,4.0,37,3.7,1.4,3,2.2,2,0,76.8,Low
3,balanced,2024-02-16,Friday,0,7.3,5.0,3.8,17,3.6,2.3,1,2.6,2,8,67.7,Low
3,balanced,2024-02-17,Saturday,1,5.5,3.7,4.7,35,3.3,2.3,1,2.2,1,8,52.7,Low
3,balanced,2024-02-18,Sunday,1,5.9,3.3,3.3,30,3.5,1.8,3,2.5,2,0,55.5,Low
3,balanced,2024-02-19,Monday,0,7.8,6.6,2.9,20,4.5,2.4,3,2.3,4,7,83.3,Low
3,balanced,2024-02-20,Tuesday,0,7.1,6.5,4.0,40,3.8,2.4,1,2.7,3,2,79.1,Low
